Game Name,Launch Date,Price,Image,Description
Once Human,"9 Jul, 2024",Free,https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/2139460/cc8d3737ca2fb11bcea6b2a6175393551cdb7a76/capsule_sm_120.jpg?t=1753837188,"Once Human is a multiplayer open-world survival game set in a strange, post-apocalyptic future. Unite with friends to fight monstrous enemies, uncover secret plots, compete for resources, and build your own territory. Once, you were merely human. Now, you have the power to remake the world."
ELDEN RING NIGHTREIGN,"29 May, 2025","₹2,499.00",https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/2622380/ebb1fa8942602fd59b68d9847aade6c0a300def4/capsule_sm_120_alt_assets_0.jpg?t=1753977256,"ELDEN RING NIGHTREIGN is a standalone adventure within the ELDEN RING universe, crafted to offer players a new gaming experience by reimagining the game’s core design."
Tom Clancy's Rainbow Six® Siege X,"1 Dec, 2015",Free,https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/359550/429275e1f06a9697892acdc57ae0a9d06bafe9f1/capsule_sm_120.jpg?t=1753192754,"Rainbow Six Siege X is the reference in tactical team shooters, where elite strategy and execution triumph. Enjoy free access to Quick Match, Unranked and Dual Front game modes with a selection of operators."
Delta Force,"4 Dec, 2024",Free,https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/2507950/79b44f29ee15bbf7cd90568eecd83d2206fd49b9/capsule_sm_120_alt_assets_4.jpg?t=1753340669,"Delta Force is back! The iconic series returns as the definitive free-to-play modern team-based tactical shooter and featuring three distinct gameplay modes: large-scale PvP warfare, intense extraction shooter action, and a remake of the legendary Black Hawk Down campaign."
Tales of the Shire: A The Lord of The Rings™ Game,"29 Jul, 2025","₹1,349.00",https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/2016460/capsule_sm_120.jpg?t=1753985707,"Welcome home, Hobbit! Live the cosy life of a Hobbit in the wonderfully serene landscape of the Shire. Discover, decorate, & share in this idyllic corner of Middle-earth. Join friendly Hobbits & familiar faces awaiting your arrival in Tales of the Shire: A The Lord of the Rings™ Game."
Team Fortress 2,"10 Oct, 2007",Free,https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/440/capsule_sm_120.jpg?t=1745368581,"Nine distinct classes provide a broad range of tactical abilities and personalities. Constantly updated with new game modes, maps, equipment and, most importantly, hats!"
RimWorld,"17 Oct, 2018","₹1,500.00",https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/294100/capsule_sm_120.jpg?t=1752247312,"A sci-fi colony sim driven by an intelligent AI storyteller. Generates stories by simulating psychology, ecology, gunplay, melee combat, climate, biomes, diplomacy, interpersonal relationships, art, medicine, trade, and more."
The Sims™ 4,"18 Jun, 2020",Free,https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/1222670/capsule_sm_120.jpg?t=1752166846,Play with life and discover the possibilities. Unleash your imagination and create a world of Sims that’s wholly unique. Explore and customize every detail from Sims to homes–and much more.
Demon Slayer -Kimetsu no Yaiba- The Hinokami Chronicles 2,"5 Aug, 2025","₹4,799.00",https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/2928600/b50db5f9f322a8b4d99e0f524e7e9f99b06f0a44/capsule_sm_120.jpg?t=1753951057,Destroy demons with the power of forged bonds! Tanjiro Kamado's battle will once again unfold…
HITMAN World of Assassination,"20 Jan, 2022",₹140.00,https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/1659040/de0effc5b3f6e0b19d6a50f204a773ec2fcd0df5/capsule_sm_120_alt_assets_10.jpg?t=1753373761,No description found
